,precision,recall,f1-score,support
0,0.0,0.0,0.0,1.0
1,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0
weighted avg,0.5,0.5,0.5,4.0
